우리집을 못 찾겠군요 (feat. 볼빨간사춘기),매드 클라운(Mad Clown)
나만 안되는 연애,볼빨간사춘기
Beautiful,크러쉬(Crush)
불장난,BLACKPINK
FINGERTIP,여자친구(GFRIEND)
MOVIE,비투비(BTOB)
넘어와 (Feat. 백예린),DEAN(딘)
그렇게 사랑은,아이유(IU)
마에스트로 (Maestro),창모(CHANGMO)
WEE WOO,PRISTIN(프리스틴)
TT,TWICE (트와이스)
FOOL,WINNER
That's What I Like,Bruno Mars(브루노 마스)
"유후 (You, Who?)",에릭남(Eric Nam)
봄날,방탄소년단
사랑은 지옥에서 온 개 (feat. 수란),매드 클라운(Mad Clown)
You(=I),볼빨간사춘기
At The End,이창섭
에라 모르겠다,BIGBANG
365 FRESH,"트리플 H (현아, 펜타곤 (후이, 이던))"
Tokyo Inn,혁오 (HYUKOH)
봄 사랑 벚꽃 말고,하이포(HIGH4)
그대라는 사치,한동근
사랑 좀 하고 싶어 (Real Love),헨리 (HENRY)
비행운,문문(MoonMoon)
5분만 더 (Feat. 빈지노),산체스 (Sanchez)
D?calcomanie (데칼코마니),마마무(Mamamoo)
러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳)
이쁘다니까,에디킴(Eddy Kim)
슬픈 노래,젝스키스
Don't Wanna Know?(feat. Kendrick Lamar),Maroon 5(마룬 파이브)
돌아오지마 (Feat. 용준형 of 비스트),헤이즈(HEIZE)
Come for you (Feat. HOMEBOY & FNRL.),Osshun Gum
Beauty and the Beast,Ariana Grande(아리아나 그란데)
D (half moon) (Feat. 개코),DEAN(딘)
Stay With Me,찬열 (CHANYEOL)
그리워요 (Girlfriend),헨리 (HENRY)
노래,Zion.T
이 소설의 끝을 다시 써보려 해,한동근
I Miss You,소유 (SOYOU)
CHEER UP,TWICE (트와이스)
벚꽃 엔딩,버스커 버스커(Busker Busker)
좋아해(bye),CHEEZE(치즈)
장난 아닌데,DAY6 (데이식스)
너였다면,정승환
상남자 (Boy In Luv),방탄소년단
싸운날,볼빨간사춘기
바램,정준일
봄비 (Spring Rain),보아 (BoA)
Viva La Vida,Coldplay(콜드플레이)
잘자 (Sleep Tight) (Feat. 길구봉구),키썸(Kisum)
